"Notes"	"County"	"County Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Colbert County, AL"	"01033"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	15	54216	27.7 (Unreliable)	15.5	45.6
	"Colbert County, AL"	"01033"	"Sudden cardiac death, so described"	"I46.1"	14	54216	25.8 (Unreliable)	14.1	43.3
	"Colbert County, AL"	"01033"	"Cardiac arrest, unspecified"	"I46.9"	10	54216	18.4 (Unreliable)	8.8	33.9
	"Colbert County, AL"	"01033"	"Cardiac arrhythmia, unspecified"	"I49.9"	13	54216	24.0 (Unreliable)	12.8	41.0
	"Colbert County, AL"	"01033"	"Congestive heart failure"	"I50.0"	31	54216	57.2	38.9	81.2
	"Colbert County, AL"	"01033"	"Heart disease, unspecified"	"I51.9"	13	54216	24.0 (Unreliable)	12.8	41.0
	"Covington County, AL"	"01039"	"Acute myocardial infarction, unspecified"	"I21.9"	19	37458	50.7 (Unreliable)	30.5	79.2
	"Covington County, AL"	"01039"	"Atherosclerotic heart disease"	"I25.1"	36	37458	96.1	67.3	133.1
	"Covington County, AL"	"01039"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	10	37458	26.7 (Unreliable)	12.8	49.1
	"Covington County, AL"	"01039"	"Cardiac arrest, unspecified"	"I46.9"	26	37458	69.4	45.3	101.7
	"Covington County, AL"	"01039"	"Congestive heart failure"	"I50.0"	16	37458	42.7 (Unreliable)	24.4	69.4
	"Cullman County, AL"	"01043"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	11	82471	13.3 (Unreliable)	6.7	23.9
	"Cullman County, AL"	"01043"	"Acute myocardial infarction, unspecified"	"I21.9"	16	82471	19.4 (Unreliable)	11.1	31.5
	"Cullman County, AL"	"01043"	"Atherosclerotic heart disease"	"I25.1"	31	82471	37.6	25.5	53.4
	"Cullman County, AL"	"01043"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	19	82471	23.0 (Unreliable)	13.9	36.0
	"Cullman County, AL"	"01043"	"Cardiac arrest, unspecified"	"I46.9"	18	82471	21.8 (Unreliable)	12.9	34.5
	"Cullman County, AL"	"01043"	"Atrial fibrillation and flutter"	"I48"	12	82471	14.6 (Unreliable)	7.5	25.4
	"Cullman County, AL"	"01043"	"Cardiac arrhythmia, unspecified"	"I49.9"	34	82471	41.2	28.6	57.6
	"Cullman County, AL"	"01043"	"Congestive heart failure"	"I50.0"	39	82471	47.3	33.6	64.6
	"Cullman County, AL"	"01043"	"Heart failure, unspecified"	"I50.9"	14	82471	17.0 (Unreliable)	9.3	28.5
	"Dale County, AL"	"01045"	"Atherosclerotic heart disease"	"I25.1"	24	49226	48.8	31.2	72.5
	"Dale County, AL"	"01045"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	11	49226	22.3 (Unreliable)	11.2	40.0
	"Dale County, AL"	"01045"	"Cardiac arrest, unspecified"	"I46.9"	25	49226	50.8	32.9	75.0
	"Dale County, AL"	"01045"	"Congestive heart failure"	"I50.0"	22	49226	44.7	28.0	67.7
	"Dallas County, AL"	"01047"	"Acute myocardial infarction, unspecified"	"I21.9"	54	40008	135.0	101.4	176.1
	"Dallas County, AL"	"01047"	"Cardiac arrest, unspecified"	"I46.9"	25	40008	62.5	40.4	92.2
	"Dallas County, AL"	"01047"	"Congestive heart failure"	"I50.0"	16	40008	40.0 (Unreliable)	22.9	64.9
	"Dallas County, AL"	"01047"	"Heart disease, unspecified"	"I51.9"	16	40008	40.0 (Unreliable)	22.9	64.9
	"DeKalb County, AL"	"01049"	"Acute myocardial infarction, unspecified"	"I21.9"	13	70900	18.3 (Unreliable)	9.8	31.4
	"DeKalb County, AL"	"01049"	"Atherosclerotic heart disease"	"I25.1"	21	70900	29.6	18.3	45.3
	"DeKalb County, AL"	"01049"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	13	70900	18.3 (Unreliable)	9.8	31.4
	"DeKalb County, AL"	"01049"	"Cardiac arrest, unspecified"	"I46.9"	56	70900	79.0	59.7	102.6
	"DeKalb County, AL"	"01049"	"Congestive heart failure"	"I50.0"	37	70900	52.2	36.7	71.9
	"DeKalb County, AL"	"01049"	"Heart disease, unspecified"	"I51.9"	16	70900	22.6 (Unreliable)	12.9	36.6
	"Elmore County, AL"	"01051"	"Acute myocardial infarction, unspecified"	"I21.9"	18	81799	22.0 (Unreliable)	13.0	34.8
	"Elmore County, AL"	"01051"	"Atherosclerotic heart disease"	"I25.1"	19	81799	23.2 (Unreliable)	14.0	36.3
	"Elmore County, AL"	"01051"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	10	81799	12.2 (Unreliable)	5.9	22.5
	"Elmore County, AL"	"01051"	"Cardiac arrest, unspecified"	"I46.9"	28	81799	34.2	22.7	49.5
	"Elmore County, AL"	"01051"	"Congestive heart failure"	"I50.0"	30	81799	36.7	24.7	52.4
	"Escambia County, AL"	"01053"	"Acute myocardial infarction, unspecified"	"I21.9"	19	37728	50.4 (Unreliable)	30.3	78.6
	"Escambia County, AL"	"01053"	"Atherosclerotic heart disease"	"I25.1"	28	37728	74.2	49.3	107.3
	"Escambia County, AL"	"01053"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	13	37728	34.5 (Unreliable)	18.3	58.9
	"Etowah County, AL"	"01055"	"Acute myocardial infarction, unspecified"	"I21.9"	72	102564	70.2	54.9	88.4
	"Etowah County, AL"	"01055"	"Atherosclerotic heart disease"	"I25.1"	43	102564	41.9	30.3	56.5
	"Etowah County, AL"	"01055"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	20	102564	19.5	11.9	30.1
	"Etowah County, AL"	"01055"	"Cardiac arrest, unspecified"	"I46.9"	75	102564	73.1	57.5	91.7
	"Etowah County, AL"	"01055"	"Cardiac arrhythmia, unspecified"	"I49.9"	11	102564	10.7 (Unreliable)	5.4	19.2
	"Etowah County, AL"	"01055"	"Congestive heart failure"	"I50.0"	88	102564	85.8	68.8	105.7
	"Etowah County, AL"	"01055"	"Heart disease, unspecified"	"I51.9"	14	102564	13.7 (Unreliable)	7.5	22.9
	"Fayette County, AL"	"01057"	"Acute myocardial infarction, unspecified"	"I21.9"	15	16546	90.7 (Unreliable)	50.7	149.5
	"Franklin County, AL"	"01059"	"Cardiac arrest, unspecified"	"I46.9"	16	31628	50.6 (Unreliable)	28.9	82.2
	"Franklin County, AL"	"01059"	"Congestive heart failure"	"I50.0"	19	31628	60.1 (Unreliable)	36.2	93.8
	"Geneva County, AL"	"01061"	"Acute myocardial infarction, unspecified"	"I21.9"	37	26614	139.0	97.9	191.6
	"Geneva County, AL"	"01061"	"Atherosclerotic heart disease"	"I25.1"	12	26614	45.1 (Unreliable)	23.3	78.8
	"Geneva County, AL"	"01061"	"Congestive heart failure"	"I50.0"	12	26614	45.1 (Unreliable)	23.3	78.8
	"Hale County, AL"	"01065"	"Acute myocardial infarction, unspecified"	"I21.9"	11	14952	73.6 (Unreliable)	36.7	131.6
	"Henry County, AL"	"01067"	"Acute myocardial infarction, unspecified"	"I21.9"	10	17164	58.3 (Unreliable)	27.9	107.1
	"Henry County, AL"	"01067"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	10	17164	58.3 (Unreliable)	27.9	107.1
	"Henry County, AL"	"01067"	"Cardiac arrest, unspecified"	"I46.9"	10	17164	58.3 (Unreliable)	27.9	107.1
	"Houston County, AL"	"01069"	"Acute myocardial infarction, unspecified"	"I21.9"	22	104056	21.1	13.2	32.0
	"Houston County, AL"	"01069"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	12	104056	11.5 (Unreliable)	6.0	20.1
	"Houston County, AL"	"01069"	"Atherosclerotic heart disease"	"I25.1"	27	104056	25.9	17.1	37.8
	"Houston County, AL"	"01069"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	18	104056	17.3 (Unreliable)	10.3	27.3
	"Houston County, AL"	"01069"	"Sudden cardiac death, so described"	"I46.1"	33	104056	31.7	21.8	44.5
	"Houston County, AL"	"01069"	"Cardiac arrest, unspecified"	"I46.9"	12	104056	11.5 (Unreliable)	6.0	20.1
	"Houston County, AL"	"01069"	"Atrial fibrillation and flutter"	"I48"	12	104056	11.5 (Unreliable)	6.0	20.1
	"Houston County, AL"	"01069"	"Congestive heart failure"	"I50.0"	49	104056	47.1	34.8	62.3
	"Jackson County, AL"	"01071"	"Acute myocardial infarction, unspecified"	"I21.9"	56	52138	107.4	81.1	139.5
	"Jackson County, AL"	"01071"	"Atherosclerotic heart disease"	"I25.1"	18	52138	34.5 (Unreliable)	20.5	54.6
	"Jackson County, AL"	"01071"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	14	52138	26.9 (Unreliable)	14.7	45.1
	"Jackson County, AL"	"01071"	"Cardiac arrest, unspecified"	"I46.9"	28	52138	53.7	35.7	77.6
	"Jackson County, AL"	"01071"	"Congestive heart failure"	"I50.0"	45	52138	86.3	63.0	115.5
	"Jackson County, AL"	"01071"	"Heart disease, unspecified"	"I51.9"	11	52138	21.1 (Unreliable)	10.5	37.7
	"Jefferson County, AL"	"01073"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	12	659521	1.8 (Unreliable)	0.9	3.2
	"Jefferson County, AL"	"01073"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	56	659521	8.5	6.4	11.0
	"Jefferson County, AL"	"01073"	"Acute subendocardial myocardial infarction"	"I21.4"	10	659521	1.5 (Unreliable)	0.7	2.8
	"Jefferson County, AL"	"01073"	"Acute myocardial infarction, unspecified"	"I21.9"	144	659521	21.8	18.3	25.4
	"Jefferson County, AL"	"01073"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	49	659521	7.4	5.5	9.8
	"Jefferson County, AL"	"01073"	"Atherosclerotic heart disease"	"I25.1"	231	659521	35.0	30.5	39.5
	"Jefferson County, AL"	"01073"	"Ischaemic cardiomyopathy"	"I25.5"	13	659521	2.0 (Unreliable)	1.0	3.4
	"Jefferson County, AL"	"01073"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	56	659521	8.5	6.4	11.0
	"Jefferson County, AL"	"01073"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	40	659521	6.1	4.3	8.3
	"Jefferson County, AL"	"01073"	"Other secondary pulmonary hypertension"	"I27.2"	16	659521	2.4 (Unreliable)	1.4	3.9
	"Jefferson County, AL"	"01073"	"Aortic (valve) stenosis"	"I35.0"	14	659521	2.1 (Unreliable)	1.2	3.6
	"Jefferson County, AL"	"01073"	"Cardiomyopathy, unspecified"	"I42.9"	33	659521	5.0	3.4	7.0
	"Jefferson County, AL"	"01073"	"Other specified conduction disorders"	"I45.8"	13	659521	2.0 (Unreliable)	1.0	3.4
	"Jefferson County, AL"	"01073"	"Sudden cardiac death, so described"	"I46.1"	11	659521	1.7 (Unreliable)	0.8	3.0
	"Jefferson County, AL"	"01073"	"Cardiac arrest, unspecified"	"I46.9"	138	659521	20.9	17.4	24.4
	"Jefferson County, AL"	"01073"	"Atrial fibrillation and flutter"	"I48"	43	659521	6.5	4.7	8.8
	"Jefferson County, AL"	"01073"	"Ventricular fibrillation and flutter"	"I49.0"	11	659521	1.7 (Unreliable)	0.8	3.0
	"Jefferson County, AL"	"01073"	"Cardiac arrhythmia, unspecified"	"I49.9"	48	659521	7.3	5.4	9.6
	"Jefferson County, AL"	"01073"	"Congestive heart failure"	"I50.0"	231	659521	35.0	30.5	39.5
	"Jefferson County, AL"	"01073"	"Heart failure, unspecified"	"I50.9"	78	659521	11.8	9.3	14.8
	"Jefferson County, AL"	"01073"	"Cardiovascular disease, unspecified"	"I51.6"	23	659521	3.5	2.2	5.2
	"Jefferson County, AL"	"01073"	"Heart disease, unspecified"	"I51.9"	45	659521	6.8	5.0	9.1
	"Lamar County, AL"	"01075"	"Cardiac arrest, unspecified"	"I46.9"	21	13918	150.9	93.4	230.6
	"Lauderdale County, AL"	"01077"	"Acute myocardial infarction, unspecified"	"I21.9"	42	92318	45.5	32.8	61.5
	"Lauderdale County, AL"	"01077"	"Atherosclerotic heart disease"	"I25.1"	24	92318	26.0	16.7	38.7
	"Lauderdale County, AL"	"01077"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	15	92318	16.2 (Unreliable)	9.1	26.8
	"Lauderdale County, AL"	"01077"	"Cardiac arrest, unspecified"	"I46.9"	66	92318	71.5	55.3	91.0
	"Lauderdale County, AL"	"01077"	"Congestive heart failure"	"I50.0"	75	92318	81.2	63.9	101.8
	"Lauderdale County, AL"	"01077"	"Heart disease, unspecified"	"I51.9"	12	92318	13.0 (Unreliable)	6.7	22.7
	"Lawrence County, AL"	"01079"	"Acute myocardial infarction, unspecified"	"I21.9"	10	33244	30.1 (Unreliable)	14.4	55.3
	"Lawrence County, AL"	"01079"	"Cardiac arrest, unspecified"	"I46.9"	26	33244	78.2	51.1	114.6
	"Lawrence County, AL"	"01079"	"Cardiac arrhythmia, unspecified"	"I49.9"	17	33244	51.1 (Unreliable)	29.8	81.9
	"Lawrence County, AL"	"01079"	"Congestive heart failure"	"I50.0"	26	33244	78.2	51.1	114.6
	"Lee County, AL"	"01081"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	11	158991	6.9 (Unreliable)	3.5	12.4
	"Lee County, AL"	"01081"	"Acute myocardial infarction, unspecified"	"I21.9"	18	158991	11.3 (Unreliable)	6.7	17.9
	"Lee County, AL"	"01081"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	10	158991	6.3 (Unreliable)	3.0	11.6
	"Lee County, AL"	"01081"	"Atherosclerotic heart disease"	"I25.1"	29	158991	18.2	12.2	26.2
	"Lee County, AL"	"01081"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	35	158991	22.0	15.3	30.6
	"Lee County, AL"	"01081"	"Congestive heart failure"	"I50.0"	37	158991	23.3	16.4	32.1
	"Lee County, AL"	"01081"	"Heart disease, unspecified"	"I51.9"	11	158991	6.9 (Unreliable)	3.5	12.4
	"Limestone County, AL"	"01083"	"Acute myocardial infarction, unspecified"	"I21.9"	12	92753	12.9 (Unreliable)	6.7	22.6
	"Limestone County, AL"	"01083"	"Atherosclerotic heart disease"	"I25.1"	60	92753	64.7	49.4	83.3
	"Limestone County, AL"	"01083"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	10	92753	10.8 (Unreliable)	5.2	19.8
	"Limestone County, AL"	"01083"	"Cardiac arrest, unspecified"	"I46.9"	22	92753	23.7	14.9	35.9
	"Limestone County, AL"	"01083"	"Cardiac arrhythmia, unspecified"	"I49.9"	34	92753	36.7	25.4	51.2
	"Limestone County, AL"	"01083"	"Congestive heart failure"	"I50.0"	22	92753	23.7	14.9	35.9
	"Macon County, AL"	"01087"	"Congestive heart failure"	"I50.0"	13	18963	68.6 (Unreliable)	36.5	117.2
	"Macon County, AL"	"01087"	"Heart failure, unspecified"	"I50.9"	15	18963	79.1 (Unreliable)	44.3	130.5
	"Macon County, AL"	"01087"	"Heart disease, unspecified"	"I51.9"	28	18963	147.7	98.1	213.4
	"Madison County, AL"	"01089"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	14	356967	3.9 (Unreliable)	2.1	6.6
	"Madison County, AL"	"01089"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	44	356967	12.3	9.0	16.5
	"Madison County, AL"	"01089"	"Acute myocardial infarction, unspecified"	"I21.9"	56	356967	15.7	11.9	20.4
	"Madison County, AL"	"01089"	"Atherosclerotic heart disease"	"I25.1"	76	356967	21.3	16.8	26.6
	"Madison County, AL"	"01089"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	40	356967	11.2	8.0	15.3
	"Madison County, AL"	"01089"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	17	356967	4.8 (Unreliable)	2.8	7.6
	"Madison County, AL"	"01089"	"Cardiomyopathy, unspecified"	"I42.9"	12	356967	3.4 (Unreliable)	1.7	5.9
	"Madison County, AL"	"01089"	"Cardiac arrest, unspecified"	"I46.9"	108	356967	30.3	24.5	36.0
	"Madison County, AL"	"01089"	"Atrial fibrillation and flutter"	"I48"	28	356967	7.8	5.2	11.3
	"Madison County, AL"	"01089"	"Cardiac arrhythmia, unspecified"	"I49.9"	35	356967	9.8	6.8	13.6
	"Madison County, AL"	"01089"	"Congestive heart failure"	"I50.0"	93	356967	26.1	21.0	31.9
	"Madison County, AL"	"01089"	"Heart failure, unspecified"	"I50.9"	38	356967	10.6	7.5	14.6
	"Madison County, AL"	"01089"	"Cardiovascular disease, unspecified"	"I51.6"	72	356967	20.2	15.8	25.4
	"Madison County, AL"	"01089"	"Heart disease, unspecified"	"I51.9"	35	356967	9.8	6.8	13.6
	"Marengo County, AL"	"01091"	"Acute myocardial infarction, unspecified"	"I21.9"	42	19673	213.5	153.9	288.6
	"Marengo County, AL"	"01091"	"Cardiac arrest, unspecified"	"I46.9"	10	19673	50.8 (Unreliable)	24.4	93.5
	"Marengo County, AL"	"01091"	"Congestive heart failure"	"I50.0"	19	19673	96.6 (Unreliable)	58.1	150.8
	"Marion County, AL"	"01093"	"Acute myocardial infarction, unspecified"	"I21.9"	46	29998	153.3	112.3	204.5
	"Marion County, AL"	"01093"	"Cardiac arrest, unspecified"	"I46.9"	20	29998	66.7	40.7	103.0
	"Marion County, AL"	"01093"	"Congestive heart failure"	"I50.0"	29	29998	96.7	64.7	138.8
	"Marshall County, AL"	"01095"	"Acute myocardial infarction, unspecified"	"I21.9"	60	95157	63.1	48.1	81.2
	"Marshall County, AL"	"01095"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	14	95157	14.7 (Unreliable)	8.0	24.7
	"Marshall County, AL"	"01095"	"Atherosclerotic heart disease"	"I25.1"	18	95157	18.9 (Unreliable)	11.2	29.9
	"Marshall County, AL"	"01095"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	15	95157	15.8 (Unreliable)	8.8	26.0
	"Marshall County, AL"	"01095"	"Cardiac arrest, unspecified"	"I46.9"	35	95157	36.8	25.6	51.2
	"Marshall County, AL"	"01095"	"Cardiac arrhythmia, unspecified"	"I49.9"	18	95157	18.9 (Unreliable)	11.2	29.9
	"Marshall County, AL"	"01095"	"Congestive heart failure"	"I50.0"	46	95157	48.3	35.4	64.5
	"Marshall County, AL"	"01095"	"Heart failure, unspecified"	"I50.9"	20	95157	21.0	12.8	32.5
	"Marshall County, AL"	"01095"	"Heart disease, unspecified"	"I51.9"	18	95157	18.9 (Unreliable)	11.2	29.9
	"Mobile County, AL"	"01097"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	15	414836	3.6 (Unreliable)	2.0	6.0
	"Mobile County, AL"	"01097"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	20	414836	4.8	2.9	7.4
	"Mobile County, AL"	"01097"	"Acute myocardial infarction, unspecified"	"I21.9"	116	414836	28.0	22.9	33.1
	"Mobile County, AL"	"01097"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	187	414836	45.1	38.6	51.5
	"Mobile County, AL"	"01097"	"Atherosclerotic heart disease"	"I25.1"	152	414836	36.6	30.8	42.5
	"Mobile County, AL"	"01097"	"Ischaemic cardiomyopathy"	"I25.5"	18	414836	4.3 (Unreliable)	2.6	6.9
	"Mobile County, AL"	"01097"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	66	414836	15.9	12.3	20.2
	"Mobile County, AL"	"01097"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	22	414836	5.3	3.3	8.0
	"Mobile County, AL"	"01097"	"Other secondary pulmonary hypertension"	"I27.2"	12	414836	2.9 (Unreliable)	1.5	5.1
	"Mobile County, AL"	"01097"	"Aortic (valve) stenosis"	"I35.0"	16	414836	3.9 (Unreliable)	2.2	6.3
	"Mobile County, AL"	"01097"	"Endocarditis, valve unspecified"	"I38"	12	414836	2.9 (Unreliable)	1.5	5.1
	"Mobile County, AL"	"01097"	"Cardiomyopathy, unspecified"	"I42.9"	23	414836	5.5	3.5	8.3
	"Mobile County, AL"	"01097"	"Cardiac arrest, unspecified"	"I46.9"	69	414836	16.6	12.9	21.1
	"Mobile County, AL"	"01097"	"Atrial fibrillation and flutter"	"I48"	50	414836	12.1	8.9	15.9
	"Mobile County, AL"	"01097"	"Ventricular fibrillation and flutter"	"I49.0"	10	414836	2.4 (Unreliable)	1.2	4.4
	"Mobile County, AL"	"01097"	"Cardiac arrhythmia, unspecified"	"I49.9"	35	414836	8.4	5.9	11.7
	"Mobile County, AL"	"01097"	"Congestive heart failure"	"I50.0"	181	414836	43.6	37.3	50.0
	"Mobile County, AL"	"01097"	"Heart failure, unspecified"	"I50.9"	19	414836	4.6 (Unreliable)	2.8	7.2
	"Mobile County, AL"	"01097"	"Cardiovascular disease, unspecified"	"I51.6"	11	414836	2.7 (Unreliable)	1.3	4.7
	"Mobile County, AL"	"01097"	"Heart disease, unspecified"	"I51.9"	47	414836	11.3	8.3	15.1
